longname,I,blood,bone,breast,come,die,dog,drink,ear,eye,fire,fish,full,hand,hear,horn,knee,leaf,liver,louse,mountain,name,new,night,nose,one,path,person,see,skin,star,stone,sun,tongue,tooth,tree,two,water,we,you
AA.BEJA.BEDJA_BEDAWI,ane-heb,boy,mitat,,7i,yay,yas,gibit-gwiham-gwham-nagaram-simham-sirmam-Sifi-yasum,angwil,gw7ad-lili,n7e,aSi-aSob-aSoyay-aSoyey,atab,,masu-masiw,d7a,,,se-si,ibab-tat,reba-riba,sim-sima,,hawad,ginuf-genuf-genif,gal-gat,salal-salla-salala,,erh-irh-reh-rih,gale-sar,hayuk-hayikw,7awe-7aweb,,hadid-hadida-midab-midalab,kwire,,male-malo,,on-hon-henen-un,uk-ukna
AA.BEJA.BEJA,anu,boy,mitat,tutEb,E7a,iya7,oyas,gwoyE7,angwil,lElit,ne7et,aSab,,ayEb,masu,dab-daXab,,lat,tonkola7,tat,rEbab,sim,gEyib,hawad,gunuf,Nga,sikab,tEk,riyhah,adeb,hayuk,aweb,yint,midalab,kwirEt,indib,malob,yam,hanEn,bErok
AA.BEJA.BEJA_2,ani,boy,mi,nug-nugwe,yit-i,yati,yas,gu7,angwil,lili,n7a,asa-ase,atab,ay,masuw,da7,gun-mba,baya,se,tat,reba,sim-sum,ga,hawad,genut,gar-gal,lagi,ha,erh,ada,hayuk,awe,yin-in,midala-mida,kos,Sedar,malo,yam,hanin,baruk-batuk
AA.BERBER.AWJILAH,n3k,dimmen,axast,,uS,mut,gzin,Su,is3m,tit,awif,,3tk3r,afus,3s3l,iSk,afud,t3l3biSt,tisi,tw3likt,,,atrar,ab3t,tk3nzirt,iwinan,t3barut,ar3gaz,ag3l,glim,,az3rg,tafut,il3s,asin,,,imin,n3k3ni,ku
AA.BERBER.AYT_SEGHROUCHEN,,idamn,isX,if,rXad,mth,aidi,sw,amzXuX,thitX,thimsi,aslm,,fus,sl,iS,fud,,thsa,,lXari,ism,,XyidX,thinzar,idZ-ij,abrid,bnadm,zXrX,aXidXurX,ithri,azXrXu,thafuith,ils,thimsth,sZrXth,snath,aman,,
AA.BERBER.BENI_SNOUS_WESTERN_ALGERIAN_BERBER,N3C,i8am3n,iy3s,if3f,as3d,3m38,ay8i,su,8imj3t,8it7,8imsi,asl3m,Car,fus,s3l,iS,fud,lw3rq,tsa,8iSi8,a8rar,lis3m,l3Zdi8,id7,8inz3r8,ij3n,abri8,,z73r,il3m,i8ri,8awqi8,8fuy8,il3s,tixm3st,s3Z3r8,8nay3n,aman,n3Cnin,S3k
AA.BERBER.CHAOUI,,,iXes,tabezult,as-yusid-tsas,imt,aXerzul-aidi,sew-tisi,ameTi,,fefu,aslem,heyen,fus,sel,,fud,taferkit,tsa,tiket,adrar,ism,aZdid,id,Xefu,yT,amrir,argaz,tmuqli,aglim,itri,zrut,tafukt,tu-tatut,tiXmest,tasZirt,sn,,,kek
AA.BERBER.CHENOUA,nec-necaya-necayen,i8ammen,ixes,a8mer-ifef,ased,emme8,ai8i,su,8imjet,8et,8imsi,aslem,eCar,fus,sel,iS,fud,luerq,Ca,8issi8,a8rar,liSem,,insu-nsin,8inze8,ijen-8ist,abri8-lemrire8,ula8ijen-had,zer,ilem,i8ri,8auqi8,8fui8,iles,tigmest,sejjer8,8nayen,aman,necnin-neSnin,sekk-semm
AA.BERBER.FIGUIG,n3C,idam3n,ix3s,bupu,as,m3t,aydi,s3w,tit,,l7af3yt,asl3m,3mer,fus,s3l,aq3llux,fud,lw3rq,tsa,til3yt,asdrar,t3sm3y3t,aZdid,id,funz3r,ij3n,abrid,bnad3m,mat3r,il3m,itri,qabu,tfuyt,il3s,tixm3s,,s3n,aman,n3Sni,S3k
